Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
SiO2,Cubic,Ia-3,206,24,0.022304727,-3.250526617,FALSE,301.3608427,2.648581058,FALSE,FALSE,NM,0,5.8478
SiO2,Cubic,F4_132,210,36,1.744760645,-1.528070699,FALSE,386.8621653,3.094817836,FALSE,TRUE,NM,0.0052097,0
SiO2,Cubic,I432,211,36,1.81857659,-1.454254754,FALSE,623.5471292,1.92009212,FALSE,TRUE,NM,1.0008782,0
SiO2,Cubic,I-43m,217,18,0.016530016,-3.256301328,FALSE,354.5061475,1.688641985,TRUE,FALSE,NM,0,5.4518
SiO2,Cubic,I-43m,217,72,0.144434827,-3.128396517,FALSE,2889.886827,0.828591568,FALSE,FALSE,NM,0.0010265,6.1453
Na2O2,Cubic,Pm-3m,221,2,0.241882352,-1.056214043,FALSE,24.05072799,2.691936759,FALSE,TRUE,FM,0.999826,0
Li2O2,Cubic,Pm-3m,221,2,0.289031872,-1.361138364,FALSE,16.35072323,2.329770364,FALSE,TRUE,FM,1.0005528,0
SiO2,Cubic,Pm-3m,221,72,0.02465922,-3.248172124,FALSE,1684.173332,1.421787065,FALSE,FALSE,NM,0,5.5639
SiO2,Cubic,Pm-3n,223,144,0.070882096,-3.201949248,FALSE,2914.406229,1.64324097,TRUE,FALSE,NM,0,5.9023
SiO2,Cubic,Pm-3n,223,72,0.071399671,-3.201431673,FALSE,1258.134869,1.903242583,TRUE,FALSE,NM,0,5.7214
SiO2,Cubic,Pm-3n,223,144,0.711422644,-2.5614087,FALSE,2295.777288,2.086034975,TRUE,FALSE,NM,0.0126978,1.4092
SiO2,Cubic,Pm-3n,223,138,0.015216321,-3.257615023,FALSE,2613.724349,1.755933851,TRUE,FALSE,NM,0.0141545,5.6882
SiO2,Cubic,Pm-3n,223,144,0.731632697,-2.541198647,FALSE,2239.824745,2.138145731,TRUE,FALSE,NM,0.0051088,1.6131
SiO2,Cubic,Pn-3m,224,6,0.397136049,-2.875695295,FALSE,55.17771207,3.616399582,FALSE,FALSE,NM,0.0007363,4.5285
